 4. đội ngũ cán bộ giảng dạy ngành công nghệ thông tin chất lượng cao(clc)
 các giảng viên học phần: nguyên lý hệ điều hành - principles of operating systems ngành công nghệ thông tin chất lượng cao(clc)
Tên giảng viên: Nguyễn Hải Châu, chức danh: PGS. TS, chuyên ngành: Hệ thống thông tin, đơn vị: Trường ĐHCN
Tên giảng viên: Phan Xuân Hiếu, chức danh: TS, chuyên ngành: Hệ thống thông tin, đơn vị: Trường ĐHCN
Tên giảng viên: Nguyễn Trí Thành, chức danh: PGS. TS, chuyên ngành: Hệ thống thông tin, đơn vị: Trường ĐHCN
Tên giảng viên: Nguyễn Thị Hậu, chức danh: TS, chuyên ngành: Hệ thống thông tin, đơn vị: Trường ĐHCN
Tên giảng viên: Lê Đức Trọng, chức danh: TS, chuyên ngành: Khoa học máy tính, đơn vị: Trường ĐHCN
Tên giảng viên: Trần Trọng Hiếu, chức danh: TS, chuyên ngành: Hệ thống thông tin, đơn vị: Trường ĐHCN
 các giảng viên học phần: mạng máy tính - computer network ngành công nghệ thông tin chất lượng cao(clc)
Tên giảng viên: Hồ Đắc Phương, chức danh: ThS, chuyên ngành: Truyền thông và MMT, đơn vị: Trường ĐHCN
Tên giảng viên: Trần Trúc Mai, chức danh: TS, chuyên ngành: Truyền thông và MMT, đơn vị: Trường ĐHCN
Tên giảng viên: Nguyễn Hoài Sơn, chức danh: PGS. TS, chuyên ngành: Truyền thông và MMT, đơn vị: Trường ĐHCN
Tên giảng viên: Hoàng Xuân Tùng, chức danh: TS, chuyên ngành: Truyền thông và MMT, đơn vị: Trường ĐHCN
Tên giảng viên: Phạm Mạnh Linh, chức danh: TS, chuyên ngành: Truyền thông và MMT, đơn vị: Trường ĐHCN
